file,species
1f3f44563.png,Maize
7d4cd07ad.png,Common Chickweed
cbba27d89.png,Maize
8f523520c.png,Shepherds Purse
31f3dd81f.png,Loose Silky-bent
4b032563b.png,Common Chickweed
54c8bb900.png,Charlock
7696badea.png,Black-grass
ab35453cb.png,Cleavers
fea1d13d6.png,Common Chickweed
48231e475.png,Scentless Mayweed
e96e57a90.png,Shepherds Purse
5315c2dca.png,Loose Silky-bent
56a01b835.png,Cleavers
4c8005bbc.png,Black-grass
e5368474f.png,Scentless Mayweed
995c7ab1e.png,Sugar beet
8311740de.png,Fat Hen
74fd477eb.png,Common Chickweed
5b63dcc21.png,Common Chickweed
3efa1f66c.png,Loose Silky-bent
dd9f36df7.png,Small-flowered Cranesbill
f1f7c833f.png,Shepherds Purse
c7eb96871.png,Common wheat
e52493d0b.png,Common wheat
ace8761dd.png,Common Chickweed
19e58cc5e.png,Common Chickweed
e4a76885b.png,Maize
490c4f9c8.png,Fat Hen
5a6bf96f6.png,Maize
aee6fa3df.png,Loose Silky-bent
539961189.png,Common Chickweed
9d79a1f0c.png,Small-flowered Cranesbill
f4ad9d950.png,Sugar beet
0caeda5df.png,Common wheat
cc74feadc.png,Black-grass
d7017f701.png,Fat Hen
c74c5b7fc.png,Shepherds Purse
93d76fd5d.png,Small-flowered Cranesbill
b62dca166.png,Fat Hen
8455169fe.png,Common wheat
55a852f40.png,Common Chickweed
3b73c3b61.png,Loose Silky-bent
39c8fde99.png,Loose Silky-bent
974959ec1.png,Common wheat
b29339405.png,Loose Silky-bent
0f6cbe5e8.png,Maize
b2706e2b3.png,Common wheat
edfdb4aeb.png,Scentless Mayweed
f85ed9b6d.png,Shepherds Purse
6908fb540.png,Sugar beet
b5c7fd009.png,Black-grass
659412b1a.png,Loose Silky-bent
35ebe165c.png,Loose Silky-bent
6edc76e7c.png,Fat Hen
592473c83.png,Loose Silky-bent
98da6ef4e.png,Scentless Mayweed
e15472085.png,Common Chickweed
534e74d83.png,Maize
13b9fa92d.png,Sugar beet
cb76a7766.png,Fat Hen
cd5f0db1c.png,Small-flowered Cranesbill
d563be369.png,Fat Hen
19b51843a.png,Common Chickweed
bffc08672.png,Scentless Mayweed
3f826b318.png,Common Chickweed
5296835a0.png,Small-flowered Cranesbill
1694a70e4.png,Scentless Mayweed
b7ad92859.png,Shepherds Purse
afa446484.png,Small-flowered Cranesbill
79d93bc96.png,Loose Silky-bent
d2f0f326e.png,Charlock
7beb2766f.png,Scentless Mayweed
df521c0c0.png,Loose Silky-bent
fd253a74e.png,Cleavers
c6b76307d.png,Cleavers
d668409ff.png,Loose Silky-bent
41f1c3cdb.png,Fat Hen
fbf88b6be.png,Charlock
632156793.png,Cleavers
2693e5c65.png,Maize
897e5a8de.png,Cleavers
12625488b.png,Fat Hen
a8b431a3e.png,Sugar beet
87608f7aa.png,Charlock
a0f37c726.png,Small-flowered Cranesbill
5883b423d.png,Scentless Mayweed
cf90fc52d.png,Maize
0c27cf05f.png,Loose Silky-bent
a060c1cf8.png,Maize
25cf6eb73.png,Maize
f593c9cf0.png,Sugar beet
1459e96a0.png,Cleavers
79dafec17.png,Loose Silky-bent
122913909.png,Maize
9643fc5f4.png,Charlock
60ee66ddd.png,Cleavers
da9ef7858.png,Charlock
172f9b10b.png,Common Chickweed
8c9953903.png,Fat Hen
da5255450.png,Common Chickweed
593896f83.png,Common Chickweed
c832e4302.png,Fat Hen
1d321253f.png,Fat Hen
e1a0e3202.png,Loose Silky-bent
1f5e5554e.png,Small-flowered Cranesbill
64fe8beb9.png,Scentless Mayweed
3fbf1a417.png,Cleavers
04814f36d.png,Scentless Mayweed
75cb95e91.png,Charlock
23bc8ec4f.png,Common Chickweed
0dba99002.png,Sugar beet
88ac6df54.png,Loose Silky-bent
afcf6abd5.png,Small-flowered Cranesbill
b130a0632.png,Cleavers
4bbf1f6ea.png,Fat Hen
9516e56c4.png,Black-grass
adb7a032c.png,Loose Silky-bent
523e5505c.png,Fat Hen
bd72d4d8a.png,Scentless Mayweed
e3f50adfc.png,Cleavers
3dd52bd2a.png,Small-flowered Cranesbill
a276c65f7.png,Loose Silky-bent
97844bfd5.png,Shepherds Purse
37c3108d6.png,Shepherds Purse
862b8e7a0.png,Sugar beet
39d569be4.png,Loose Silky-bent
98062cd87.png,Common Chickweed
b7192c70f.png,Common wheat
1be0713da.png,Cleavers
32b42c120.png,Small-flowered Cranesbill
b31292706.png,Common Chickweed
87f627bf9.png,Common Chickweed
74068643d.png,Loose Silky-bent
dce2f6612.png,Common Chickweed
2a667e099.png,Fat Hen
0ae6668fa.png,Loose Silky-bent
466bb6d3b.png,Maize
bebcaab66.png,Scentless Mayweed
d2fd9df40.png,Loose Silky-bent
05341a8a6.png,Scentless Mayweed
37297a64c.png,Common Chickweed
da4ed3a28.png,Charlock
1dc7c45df.png,Loose Silky-bent
bea23d9f8.png,Scentless Mayweed
3d67c434b.png,Fat Hen
19618ad6a.png,Sugar beet
fb022edf9.png,Sugar beet
e0ec5b6a1.png,Sugar beet
f351ce097.png,Loose Silky-bent
d01873fdd.png,Loose Silky-bent
24d78df74.png,Common Chickweed
92292055d.png,Common Chickweed
caa2fbd79.png,Common Chickweed
5af1d74ee.png,Sugar beet
8ca6140ca.png,Loose Silky-bent
3d65168c2.png,Common Chickweed
f4caf74f9.png,Charlock
6df8e31ea.png,Charlock
d350a25fa.png,Common Chickweed
abc331628.png,Common wheat
5a38ac566.png,Loose Silky-bent
cc3d2a59a.png,Sugar beet
c7ae30f3a.png,Scentless Mayweed
099b961ec.png,Shepherds Purse
d17f48d3b.png,Scentless Mayweed
d6c8c3c48.png,Small-flowered Cranesbill
fba8fc78a.png,Black-grass
36d62bf36.png,Common wheat
03ef36742.png,Scentless Mayweed
8916793ce.png,Small-flowered Cranesbill
ef7a5651d.png,Scentless Mayweed
e9d48d664.png,Shepherds Purse
dc55449b2.png,Sugar beet
c1ecff98b.png,Loose Silky-bent
800a8c17e.png,Fat Hen
4b155fb07.png,Maize
53e6e9000.png,Common wheat
177d7e2a4.png,Common Chickweed
0ebf8f2f4.png,Maize
da713c465.png,Black-grass
4a337a4a9.png,Fat Hen
8b043093d.png,Small-flowered Cranesbill
acdb75e00.png,Loose Silky-bent
391dcd7fd.png,Black-grass
69d1669f8.png,Charlock
a19c3faca.png,Cleavers
a2c89c367.png,Charlock
2e86f1085.png,Fat Hen
258b1183c.png,Cleavers
8dbb8e1b9.png,Charlock
3edf5e9ef.png,Common wheat
456d507c0.png,Cleavers
ba3ce6b3e.png,Scentless Mayweed
20e562fd5.png,Sugar beet
0086a6340.png,Common Chickweed
d14aa43f3.png,Small-flowered Cranesbill
f9b6bfb00.png,Cleavers
558aa7deb.png,Black-grass
f25996db8.png,Small-flowered Cranesbill
f9ea23fb5.png,Fat Hen
f2dc546ca.png,Cleavers
0ad9e7dfb.png,Sugar beet
b7a7f6390.png,Fat Hen
948cdb277.png,Cleavers
df11d56a7.png,Sugar beet
b573b7a56.png,Loose Silky-bent
bfab3e3d0.png,Sugar beet
c88ebfb47.png,Small-flowered Cranesbill
071cb3ece.png,Sugar beet
